Animal,time_trial,Phase,Trial,465nm_dFF_norm
180,-20.0,baseline,1,0.20352494982536035
180,-19.89993746091307,baseline,1,-0.3814058592902309
180,-19.79987492182614,baseline,1,-0.37116826773893274
180,-19.69981238273921,baseline,1,-0.38515011777616964
180,-19.599749843652283,baseline,1,-0.0034751569550158174
180,-19.499687304565352,baseline,1,-0.6618165790990485
180,-19.399624765478425,baseline,1,0.09571600974729019
180,-19.299562226391494,baseline,1,-0.4554842254642156
180,-19.199499687304566,baseline,1,-0.19603798042711074
180,-19.099437148217635,baseline,1,-0.326435526453455
180,-18.999374609130708,baseline,1,0.2750825006823239
180,-18.899312070043777,baseline,1,0.3826403703092927
180,-18.79924953095685,baseline,1,0.45842611235536135
180,-18.69918699186992,baseline,1,0.9039046381993021
180,-18.599124452782988,baseline,1,0.47676866599050943
180,-18.49906191369606,baseline,1,-0.07346187832217782
180,-18.39899937460913,baseline,1,-0.33771265139482015
180,-18.298936835522202,baseline,1,0.2646956792444848
180,-18.19887429643527,baseline,1,-0.6364475941039047
180,-18.098811757348344,baseline,1,-0.7172750716472313
180,-17.998749218261413,baseline,1,-1.256213055092213
180,-17.898686679174485,baseline,1,-1.24768273599875
180,-17.798624140087554,baseline,1,-0.39018321587150984
180,-17.698561601000627,baseline,1,-0.7008876160392677
180,-17.598499061913696,baseline,1,-1.0498594373536934
180,-17.498436522826765,baseline,1,-1.3235433285037617
180,-17.398373983739837,baseline,1,-1.1412841342259434
180,-17.29831144465291,baseline,1,-1.247853093408692
180,-17.19824890556598,baseline,1,-1.0130672094833288
180,-17.098186366479048,baseline,1,-0.665223527493065
180,-16.99812382739212,baseline,1,-0.9169602800941554
180,-16.89806128830519,baseline,1,-0.10054472251370404
180,-16.797998749218262,baseline,1,-0.11840966669210934
180,-16.69793621013133,baseline,1,-0.18280813689461123
180,-16.597873671044404,baseline,1,-0.34499926519392055
180,-16.497811131957473,baseline,1,-0.5146399140548228
180,-16.397748592870546,baseline,1,-0.7018188006595875
180,-16.297686053783615,baseline,1,-0.8142567022674503
180,-16.197623514696687,baseline,1,-0.9322124534170696
180,-16.097560975609756,baseline,1,-0.5608994578755263
180,-15.997498436522827,baseline,1,-0.33093822350855046
180,-15.897435897435898,baseline,1,-0.642221353725648
180,-15.797373358348967,baseline,1,-0.4972831738843648
180,-15.69731081926204,baseline,1,-0.18759649216351804
180,-15.597248280175108,baseline,1,-0.5159032131930331
180,-15.497185741088181,baseline,1,-0.6129379947052387
180,-15.39712320200125,baseline,1,-1.4254405432232202
180,-15.297060662914323,baseline,1,-0.6800344918550744
180,-15.196998123827392,baseline,1,-0.012139029125173931
180,-15.096935584740462,baseline,1,0.3661063383956495
180,-14.996873045653533,baseline,1,0.038321847437285825
180,-14.896810506566604,baseline,1,-0.14828180274386205
180,-14.796747967479675,baseline,1,0.6613959677863411
180,-14.696685428392746,baseline,1,0.7831277350242439
180,-14.596622889305817,baseline,1,0.3827671340604876
180,-14.496560350218886,baseline,1,0.6144815599597692
180,-14.396497811131958,baseline,1,0.7078174954722124
180,-14.296435272045027,baseline,1,0.6578699404364765
180,-14.1963727329581,baseline,1,0.3974082926233785
180,-14.096310193871169,baseline,1,0.6667151680236363
180,-13.996247654784241,baseline,1,0.50012867063008
180,-13.89618511569731,baseline,1,0.13482480777750516
180,-13.796122576610381,baseline,1,-0.5414571572221635
180,-13.696060037523452,baseline,1,-0.23143570476758293
180,-13.595997498436523,baseline,1,0.18116559035232027
180,-13.495934959349594,baseline,1,0.07655109164560783
180,-13.395872420262664,baseline,1,-0.3858096529762524
180,-13.295809881175735,baseline,1,-0.5159249969269449
180,-13.195747342088804,baseline,1,-0.6268033120103397
180,-13.095684803001877,baseline,1,-0.7130380419818255
