Animal,time_trial,Phase,Trial,465nm_dFF_norm
180,-20.0,baseline,1,1.8565518838975625
180,-19.899938233477457,baseline,1,1.8542820266800109
180,-19.79987646695491,baseline,1,1.6431042816848644
180,-19.699814700432366,baseline,1,1.6331220797543593
180,-19.59975293390982,baseline,1,1.2557167761841908
180,-19.499691167387276,baseline,1,0.6185489489585073
180,-19.399629400864733,baseline,1,0.08987728348892701
180,-19.299567634342186,baseline,1,0.4814747365414738
180,-19.199505867819642,baseline,1,0.6842002650680514
180,-19.099444101297095,baseline,1,0.9278442088541198
180,-18.999382334774552,baseline,1,0.6589517200157159
180,-18.89932056825201,baseline,1,1.1414672041619738
180,-18.79925880172946,baseline,1,2.3478788580030727
180,-18.699197035206918,baseline,1,4.026622603842647
180,-18.59913526868437,baseline,1,4.387368345426435
180,-18.499073502161828,baseline,1,4.409629860870215
180,-18.399011735639284,baseline,1,4.000093171090985
180,-18.298949969116737,baseline,1,2.515953606342875
180,-18.198888202594194,baseline,1,2.2596376688917434
180,-18.09882643607165,baseline,1,1.7244697856214366
180,-17.998764669549104,baseline,1,1.1859099062682819
180,-17.89870290302656,baseline,1,0.7111545808136833
180,-17.798641136504013,baseline,1,0.8392845031264126
180,-17.69857936998147,baseline,1,0.17763363704370327
180,-17.598517603458927,baseline,1,-0.00973577874207656
180,-17.49845583693638,baseline,1,-0.1657720761195465
180,-17.398394070413836,baseline,1,0.3449839557736462
180,-17.298332303891293,baseline,1,0.4015452035454314
180,-17.198270537368746,baseline,1,0.16695961683299598
180,-17.098208770846202,baseline,1,0.6491370185873464
180,-16.998147004323656,baseline,1,0.6724770081578085
180,-16.898085237801112,baseline,1,0.27574549269025483
180,-16.79802347127857,baseline,1,0.683813035635932
180,-16.697961704756022,baseline,1,0.8188046183875224
180,-16.59789993823348,baseline,1,0.5548083172724859
180,-16.49783817171093,baseline,1,-0.13938500458470068
180,-16.397776405188388,baseline,1,0.0654476603694615
180,-16.297714638665845,baseline,1,-0.421253313150749
180,-16.197652872143298,baseline,1,-0.5464819523015544
180,-16.097591105620754,baseline,1,-0.18432311368810184
180,-15.99752933909821,baseline,1,-0.07728062408689183
180,-15.897467572575664,baseline,1,0.008582957926060699
180,-15.797405806053119,baseline,1,0.08991208693942548
180,-15.697344039530574,baseline,1,0.6844764477774042
180,-15.59728227300803,baseline,1,0.6978163986781679
180,-15.497220506485485,baseline,1,0.392597014734511
180,-15.39715873996294,baseline,1,-0.019213302698092342
180,-15.297096973440397,baseline,1,0.22283385699432465
180,-15.19703520691785,baseline,1,-0.47857200867563354
180,-15.096973440395306,baseline,1,-0.33251720464102147
180,-14.996911673872761,baseline,1,-0.13155994756126796
180,-14.896849907350216,baseline,1,0.6216804889613863
180,-14.796788140827672,baseline,1,1.081272385308885
180,-14.696726374305126,baseline,1,0.6278547437979223
180,-14.596664607782582,baseline,1,0.20933627185518675
180,-14.496602841260037,baseline,1,-0.29115074483204895
180,-14.396541074737492,baseline,1,-0.21094217515929162
180,-14.296479308214948,baseline,1,-0.7298507862293778
180,-14.196417541692401,baseline,1,-1.3084963974079606
180,-14.096355775169858,baseline,1,-0.9365939378802787
180,-13.996294008647313,baseline,1,-0.5623612231137565
180,-13.896232242124768,baseline,1,-0.4644393005266339
180,-13.796170475602224,baseline,1,-0.44860580234272773
180,-13.69610870907968,baseline,1,-0.4694227928916621
180,-13.596046942557134,baseline,1,-0.514845311632537
180,-13.495985176034589,baseline,1,-0.3848189207724424
180,-13.395923409512044,baseline,1,-0.32527910903219254
180,-13.2958616429895,baseline,1,-0.22770270053381628
180,-13.195799876466955,baseline,1,-0.38907298829225595
180,-13.09573810994441,baseline,1,0.04869055237128439
180,-12.995676343421867,baseline,1,-0.39718025559691456
180,-12.89561457689932,baseline,1,0.0037743279472227534
180,-12.795552810376776,baseline,1,0.31906404493163215
180,-12.695491043854231,baseline,1,-0.047995385297471584
180,-12.595429277331686,baseline,1,-0.10620817845868817
180,-12.495367510809142,baseline,1,-0.78531419517646
180,-12.395305744286595,baseline,1,-0.7019748995676162
180,-12.295243977764052,baseline,1,-0.906398327804231
180,-12.195182211241507,baseline,1,-0.8235690028286974
180,-12.095120444718962,baseline,1,-0.8695707738032452
180,-11.995058678196418,baseline,1,-0.8557127325751499
180,-11.894996911673873,baseline,1,-1.3735829763442307
180,-11.794935145151328,baseline,1,-0.9936065001460627
180,-11.694873378628783,baseline,1,-0.7424873136584916
180,-11.594811612106238,baseline,1,-1.1860278720792947
180,-11.494749845583694,baseline,1,-1.179567311336618
180,-11.394688079061149,baseline,1,-1.420381864015549
180,-11.294626312538604,baseline,1,-1.1863814941300206
180,-11.194564546016059,baseline,1,-0.5037843050898013
180,-11.094502779493514,baseline,1,-0.07626469266178841
180,-10.99444101297097,baseline,1,-0.10220226315591037
180,-10.894379246448425,baseline,1,0.1745994936886897
180,-10.79431747992588,baseline,1,-0.3074889413545035
180,-10.694255713403335,baseline,1,-0.6926396320164668
180,-10.594193946880791,baseline,1,-0.4052774102588137
180,-10.494132180358246,baseline,1,-0.6167213532486117
180,-10.394070413835701,baseline,1,-0.9759538033138668
180,-10.294008647313156,baseline,1,-1.0436087028916072
180,-10.19394688079061,baseline,1,-1.2744913915105596
180,-10.093885114268067,baseline,1,-0.9841862200257311
180,-9.993823347745522,baseline,1,-0.4822817889564249
180,-9.893761581222977,baseline,1,0.48318141538941584
180,-9.793699814700432,baseline,1,0.9635025059245413
180,-9.693638048177888,baseline,1,1.5634593040044698
180,-9.593576281655343,baseline,1,1.115587797371047
180,-9.493514515132798,baseline,1,1.3220214248874345
180,-9.393452748610253,baseline,1,0.5952961690724891
180,-9.293390982087708,baseline,1,-0.01747240598389981
180,-9.193329215565164,baseline,1,-0.7572622315218269
180,-9.093267449042619,baseline,1,-1.4349994491583653
180,-8.993205682520074,baseline,1,-1.1808305300923134
180,-8.893143915997529,baseline,1,-0.7908824246707591
180,-8.793082149474984,baseline,1,-0.8454465162118441
180,-8.69302038295244,baseline,1,-0.8412272351633081
180,-8.592958616429895,baseline,1,-0.1715826499929523
180,-8.49289684990735,baseline,1,-0.37264002011698005
180,-8.392835083384805,baseline,1,-0.5082700081353351
180,-8.292773316862261,baseline,1,-0.3595347207647621
180,-8.192711550339716,baseline,1,-0.5386614989908186
180,-8.092649783817171,baseline,1,-1.1544688984440115
180,-7.992588017294626,baseline,1,-1.2843845439962258
180,-7.892526250772081,baseline,1,-1.1449879496907267
180,-7.792464484249537,baseline,1,-2.047916577577022
180,-7.692402717726992,baseline,1,-0.2734536353260389
