Animal,Trial,Phase,time_trial,465nm_dFF_norm
Sal-05,1,baseline,-20.0,-0.5555806630393583
Sal-05,1,baseline,-19.899938233477457,-0.7803671098299246
Sal-05,1,baseline,-19.79987646695491,0.45417349171397553
Sal-05,1,baseline,-19.699814700432366,-0.06345817161493993
Sal-05,1,baseline,-19.59975293390982,0.5426111989243458
Sal-05,1,baseline,-19.499691167387276,0.3098858896802678
Sal-05,1,baseline,-19.399629400864733,0.14177845027148536
Sal-05,1,baseline,-19.299567634342186,0.08519219269728012
Sal-05,1,baseline,-19.199505867819642,0.21385067894253315
Sal-05,1,baseline,-19.099444101297095,0.23884448698596125
Sal-05,1,baseline,-18.999382334774552,0.5229604340007494
Sal-05,1,baseline,-18.89932056825201,0.24705236324836732
Sal-05,1,baseline,-18.79925880172946,-0.9219387840554678
Sal-05,1,baseline,-18.699197035206918,-0.7140501987398243
Sal-05,1,baseline,-18.59913526868437,-2.0092483062063256
Sal-05,1,baseline,-18.499073502161828,-2.34919784712679
Sal-05,1,baseline,-18.399011735639284,-1.942429774569986
Sal-05,1,baseline,-18.298949969116737,-1.8244239448923085
Sal-05,1,baseline,-18.198888202594194,-1.8646419829696552
Sal-05,1,baseline,-18.09882643607165,-1.8660029371179814
Sal-05,1,baseline,-17.998764669549104,-0.8408507132175863
Sal-05,1,baseline,-17.89870290302656,-0.539646858001335
Sal-05,1,baseline,-17.798641136504013,-0.4438890755791334
Sal-05,1,baseline,-17.69857936998147,-0.7733963479963859
Sal-05,1,baseline,-17.598517603458927,-0.986928860379691
Sal-05,1,baseline,-17.49845583693638,-0.46852996348158876
Sal-05,1,baseline,-17.398394070413836,-1.0783494438161636
Sal-05,1,baseline,-17.298332303891293,-0.7145548493492073
Sal-05,1,baseline,-17.198270537368746,-1.2000174133210542
Sal-05,1,baseline,-17.098208770846202,-0.4654202047854074
Sal-05,1,baseline,-16.998147004323656,0.29082571233743004
Sal-05,1,baseline,-16.898085237801112,0.8837317054033845
Sal-05,1,baseline,-16.79802347127857,3.008632170168098
Sal-05,1,baseline,-16.697961704756022,3.4351259907791385
Sal-05,1,baseline,-16.59789993823348,2.917590471787222
Sal-05,1,baseline,-16.49783817171093,2.3607098591504805
Sal-05,1,baseline,-16.397776405188388,2.323820300066604
Sal-05,1,baseline,-16.297714638665845,0.9246033406393367
Sal-05,1,baseline,-16.197652872143298,1.0009017658972144
Sal-05,1,baseline,-16.097591105620754,0.6181002525351211
Sal-05,1,baseline,-15.99752933909821,1.1533371882146157
Sal-05,1,baseline,-15.897467572575664,0.9447587488589064
Sal-05,1,baseline,-15.797405806053119,1.3019443091786467
Sal-05,1,baseline,-15.697344039530574,1.8129167086278724
Sal-05,1,baseline,-15.59728227300803,1.3096657358143495
Sal-05,1,baseline,-15.497220506485485,0.6672670751240002
Sal-05,1,baseline,-15.39715873996294,1.2185421915270525
Sal-05,1,baseline,-15.297096973440397,0.8469928701272553
Sal-05,1,baseline,-15.19703520691785,0.7001788130823532
Sal-05,1,baseline,-15.096973440395306,1.377924586577741
Sal-05,1,baseline,-14.996911673872761,0.7060985266178742
Sal-05,1,baseline,-14.896849907350216,0.5689865843253838
Sal-05,1,baseline,-14.796788140827672,0.2853184256437562
Sal-05,1,baseline,-14.696726374305126,-0.2155935019416825
Sal-05,1,baseline,-14.596664607782582,0.15801829676559448
Sal-05,1,baseline,-14.496602841260037,-0.6748577587351593
Sal-05,1,baseline,-14.396541074737492,-0.3930981752566357
Sal-05,1,baseline,-14.296479308214948,0.7532503320421641
Sal-05,1,baseline,-14.196417541692401,-0.704432874634067
Sal-05,1,baseline,-14.096355775169858,-0.12481923919258159
Sal-05,1,baseline,-13.996294008647313,-0.4235581314110889
Sal-05,1,baseline,-13.896232242124768,-0.545315733075043
Sal-05,1,baseline,-13.796170475602224,0.6421793505414058
Sal-05,1,baseline,-13.69610870907968,0.7037787888359536
Sal-05,1,baseline,-13.596046942557134,0.8289688419196296
Sal-05,1,baseline,-13.495985176034589,0.8926946352777824
Sal-05,1,baseline,-13.395923409512044,0.4155173082148808
Sal-05,1,baseline,-13.2958616429895,0.8100112044919218
Sal-05,1,baseline,-13.195799876466955,0.36621975005313695
Sal-05,1,baseline,-13.09573810994441,-0.6184687928146533
Sal-05,1,baseline,-12.995676343421867,-0.21440909645352213
Sal-05,1,baseline,-12.89561457689932,-0.34887819119375596
Sal-05,1,baseline,-12.795552810376776,-0.4161098734479074
Sal-05,1,baseline,-12.695491043854231,-0.4105779799787768
Sal-05,1,baseline,-12.595429277331686,-1.4696174332871175
Sal-05,1,baseline,-12.495367510809142,-1.4614054997814547
Sal-05,1,baseline,-12.395305744286595,-0.6532505029353719
Sal-05,1,baseline,-12.295243977764052,-0.4594730458359253
Sal-05,1,baseline,-12.195182211241507,-0.7036485756760705
Sal-05,1,baseline,-12.095120444718962,-1.05627946781582
Sal-05,1,baseline,-11.995058678196418,-2.2445592491548734
Sal-05,1,baseline,-11.894996911673873,-2.786023857053819
Sal-05,1,baseline,-11.794935145151328,-1.757824595005277
Sal-05,1,baseline,-11.694873378628783,-1.1241200746720679
Sal-05,1,baseline,-11.594811612106238,-1.5220292846048473
Sal-05,1,baseline,-11.494749845583694,-0.8635703484926257
Sal-05,1,baseline,-11.394688079061149,-0.6104774118912107
Sal-05,1,baseline,-11.294626312538604,-0.876928538180812
Sal-05,1,baseline,-11.194564546016059,-1.6865487478362944
Sal-05,1,baseline,-11.094502779493514,-1.6637696468327519
Sal-05,1,baseline,-10.99444101297097,-1.574242051839679
Sal-05,1,baseline,-10.894379246448425,-2.320803864314091
Sal-05,1,baseline,-10.79431747992588,-2.0674429130159355
Sal-05,1,baseline,-10.694255713403335,-1.242982636209427
Sal-05,1,baseline,-10.594193946880791,-1.6123906032688573
Sal-05,1,baseline,-10.494132180358246,-0.4344360969474936
Sal-05,1,baseline,-10.394070413835701,-0.3106915183098373
Sal-05,1,baseline,-10.294008647313156,0.8876561894409631
Sal-05,1,baseline,-10.19394688079061,1.0909073782624727
Sal-05,1,baseline,-10.093885114268067,-0.3459708082893694
Sal-05,1,baseline,-9.993823347745522,0.19828835469384432
Sal-05,1,baseline,-9.893761581222977,0.77197531666243
Sal-05,1,baseline,-9.793699814700432,2.001682712619224
Sal-05,1,baseline,-9.693638048177888,1.057742155251738
Sal-05,1,baseline,-9.593576281655343,0.2345516166761848
Sal-05,1,baseline,-9.493514515132798,0.4917829603533068
Sal-05,1,baseline,-9.393452748610253,0.5626250245027813
Sal-05,1,baseline,-9.293390982087708,0.2754734705981707
Sal-05,1,baseline,-9.193329215565164,0.017844229461920335
Sal-05,1,baseline,-9.093267449042619,-0.5194608978651319
Sal-05,1,baseline,-8.993205682520074,-0.32454733513872003
Sal-05,1,baseline,-8.893143915997529,0.015821896794752183
Sal-05,1,baseline,-8.793082149474984,1.035676219148014
Sal-05,1,baseline,-8.69302038295244,1.0045271862906757
Sal-05,1,baseline,-8.592958616429895,1.1821170646671841
Sal-05,1,baseline,-8.49289684990735,1.172762209731833
Sal-05,1,baseline,-8.392835083384805,1.2619637463965345
Sal-05,1,baseline,-8.292773316862261,1.1021124487847935
Sal-05,1,baseline,-8.192711550339716,0.7736826195013647
Sal-05,1,baseline,-8.092649783817171,0.35332608399030907
Sal-05,1,baseline,-7.992588017294626,0.41416600164239215
Sal-05,1,baseline,-7.892526250772081,-0.20270221769664493
Sal-05,1,baseline,-7.792464484249537,-0.7448581109987159
Sal-05,1,baseline,-7.692402717726992,-0.8623435692401721
Sal-05,1,baseline,-7.592340951204447,-0.8283119772089613
Sal-05,1,baseline,-7.492279184681902,-0.3742346473198366
Sal-05,1,baseline,-7.392217418159358,-0.8556332814721739
Sal-05,1,baseline,-7.292155651636813,-0.7077125627356059
Sal-05,1,baseline,-7.192093885114268,-0.6220555682136193
Sal-05,1,baseline,-7.092032118591723,-0.09100726053187017
Sal-05,1,baseline,-6.991970352069178,0.32581886696442597
Sal-05,1,baseline,-6.891908585546634,0.4198763238030953
Sal-05,1,baseline,-6.791846819024089,1.348436243446127
Sal-05,1,baseline,-6.691785052501544,1.1537422608367116
Sal-05,1,baseline,-6.591723285978999,0.9769325052754326
Sal-05,1,baseline,-6.491661519456455,0.5419329136757768
Sal-05,1,baseline,-6.39159975293391,-0.07975114103264896
Sal-05,1,baseline,-6.291537986411365,0.6060089361937017
Sal-05,1,baseline,-6.19147621988882,-0.0052453305069577495
Sal-05,1,baseline,-6.091414453366275,-0.46227975020188744
Sal-05,1,baseline,-5.991352686843731,-0.5123306629921044
Sal-05,1,baseline,-5.891290920321186,-0.5924162739140773
Sal-05,1,baseline,-5.791229153798641,0.035680916664030386
Sal-05,1,baseline,-5.691167387276096,0.08259651524943484
Sal-05,1,baseline,-5.591105620753552,-0.1829961392821075
Sal-05,1,baseline,-5.491043854231007,-0.3698583790139735
Sal-05,1,baseline,-5.390982087708462,-0.4387225217837357
Sal-05,1,baseline,-5.290920321185917,-0.6102260533822916
Sal-05,1,baseline,-5.190858554663372,0.022589342226618247
Sal-05,1,baseline,-5.090796788140828,-0.2100805196989071
Sal-05,1,baseline,-4.990735021618283,0.7447306456951371
Sal-05,1,baseline,-4.890673255095738,0.8887482376868004
Sal-05,1,baseline,-4.790611488573193,0.6456274869421009
Sal-05,1,baseline,-4.690549722050648,-0.709912580313485
Sal-05,1,baseline,-4.590487955528104,-0.5499660416913448
Sal-05,1,baseline,-4.490426189005559,0.970451762713032
Sal-05,1,baseline,-4.390364422483014,0.16016112539371294
Sal-05,1,baseline,-4.290302655960469,-0.5449549934288976
Sal-05,1,baseline,-4.190240889437925,0.1456445163934964
Sal-05,1,baseline,-4.09017912291538,-0.3740797501194287
Sal-05,1,baseline,-3.9901173563928367,-0.3978213239017337
Sal-05,1,baseline,-3.8900555898702898,-0.027760220662121377
Sal-05,1,baseline,-3.7899938233477464,-0.39140048611889533
Sal-05,1,baseline,-3.6899320568251994,0.24856526730229347
Sal-05,1,baseline,-3.589870290302656,-0.16262467834668914
Sal-05,1,baseline,-3.4898085237801126,-1.0429742843840242
Sal-05,1,baseline,-3.3897467572575657,-1.030458094611528
Sal-05,1,baseline,-3.2896849907350223,-0.2509261070830311
Sal-05,1,baseline,-3.1896232242124753,-0.431538969580253
Sal-05,1,baseline,-3.089561457689932,-0.44882107256156417
Sal-05,1,baseline,-2.9894996911673886,-0.5982176367386873
Sal-05,1,baseline,-2.8894379246448416,0.03479040448509104
Sal-05,1,baseline,-2.789376158122298,-0.6621050568260122
Sal-05,1,baseline,-2.6893143915997513,0.05742079400766013
Sal-05,1,baseline,-2.589252625077208,-0.4674687039181223
Sal-05,1,baseline,-2.4891908585546645,-0.06491435009103197
Sal-05,1,baseline,-2.3891290920321175,0.12405692186427338
Sal-05,1,baseline,-2.289067325509574,0.5615735472563363
Sal-05,1,baseline,-2.189005558987027,1.4992159376437924
Sal-05,1,baseline,-2.088943792464484,1.3723667511077597
Sal-05,1,baseline,-1.9888820259419404,0.3773628492784109
Sal-05,1,baseline,-1.8888202594193935,0.6002729964640399
Sal-05,1,baseline,-1.78875849289685,0.0470904876435872
Sal-05,1,baseline,-1.6886967263743067,-0.2617453865520503
Sal-05,1,baseline,-1.5886349598517597,0.8587461702926893
Sal-05,1,baseline,-1.4885731933292163,0.5913007826538227
Sal-05,1,baseline,-1.3885114268066694,0.04608662235264811
Sal-05,1,baseline,-1.288449660284126,0.004465904243459105
Sal-05,1,baseline,-1.1883878937615826,-1.0209217581691312
Sal-05,1,baseline,-1.0883261272390357,0.019099649134047474
Sal-05,1,baseline,-0.9882643607164923,0.29261238090205155
Sal-05,1,baseline,-0.8882025941939453,-0.04937319567139804
Sal-05,1,baseline,-0.7881408276714019,0.43585973443825066
Sal-05,1,baseline,-0.6880790611488585,0.4988517796351602
Sal-05,1,baseline,-0.5880172946263116,1.403063251190968
Sal-05,1,baseline,-0.4879555281037682,1.2937328765116538
Sal-05,1,baseline,-0.38789376158122124,0.3551498337220964
Sal-05,1,baseline,-0.28783199505867785,0.4377690439512796
Sal-05,1,baseline,-0.18777022853613445,0.26384427212459627
Sal-05,1,baseline,-0.08770846201358751,2.042365690552394
Sal-05,1,tone,0.012353304508955887,2.6408986284807563
Sal-05,1,tone,0.11241507103150283,2.595266119606225
Sal-05,1,tone,0.21247683755404623,3.0503698572029148
Sal-05,1,tone,0.3125386040765896,3.211443724227882
Sal-05,1,tone,0.41260037059913657,3.2473125876179805
Sal-05,1,tone,0.51266213712168,3.5435928070147242
Sal-05,1,tone,0.6127239036442234,5.016278189993574
Sal-05,1,tone,0.7127856701667703,4.162028239393818
Sal-05,1,tone,0.8128474366893137,4.0654482204713975
Sal-05,1,tone,0.9129092032118606,4.443491701103193
Sal-05,1,tone,1.012970969734404,3.7772230175278065
Sal-05,1,tone,1.1130327362569474,3.754129956209811
Sal-05,1,tone,1.2130945027794944,3.8760974293884605
Sal-05,1,tone,1.3131562693020378,2.935228547264721
Sal-05,1,tone,1.4132180358245847,2.116682583072298
Sal-05,1,tone,1.5132798023471281,3.108040780893561
Sal-05,1,tone,1.6133415688696715,2.5820868929653704
Sal-05,1,tone,1.7134033353922185,2.8118572848394536
Sal-05,1,tone,1.8134651019147618,1.6027752415798087
Sal-05,1,tone,1.9135268684373088,2.014157339666718
Sal-05,1,tone,2.013588634959852,1.480083860490315
Sal-05,1,tone,2.1136504014823956,1.4320010581515403
Sal-05,1,tone,2.2137121680049425,1.0682385261322274
Sal-05,1,tone,2.313773934527486,0.849571960154696
Sal-05,1,tone,2.413835701050033,0.4875755194039942
Sal-05,1,tone,2.5138974675725763,0.9057461257702432
Sal-05,1,tone,2.6139592340951197,0.1804141137515592
Sal-05,1,tone,2.7140210006176666,0.020758791606875462
Sal-05,1,tone,2.81408276714021,-0.244172449488799
Sal-05,1,tone,2.9141445336627534,0.3629114279512366
Sal-05,1,tone,3.0142063001853003,0.7699217259402606
Sal-05,1,tone,3.1142680667078437,1.6783836975508657
Sal-05,1,tone,3.2143298332303907,3.038887137327647
Sal-05,1,tone,3.314391599752934,3.2165994612744426
Sal-05,1,tone,3.4144533662754775,4.775223172855186
Sal-05,1,tone,3.5145151327980244,4.619311577860966
Sal-05,1,tone,3.614576899320568,4.909783741028471
Sal-05,1,tone,3.7146386658431148,5.209745540080391
Sal-05,1,tone,3.814700432365658,4.995065662027749
Sal-05,1,tone,3.9147621988882015,5.24656504573238
Sal-05,1,tone,4.0148239654107485,4.719891446355308
Sal-05,1,tone,4.114885731933292,4.824436783318676
Sal-05,1,tone,4.214947498455839,4.825004452296242
Sal-05,1,tone,4.315009264978382,5.406674681867075
Sal-05,1,tone,4.415071031500926,6.064532389852749
Sal-05,1,tone,4.515132798023473,6.134334210871927
Sal-05,1,tone,4.615194564546016,6.266144976259424
Sal-05,1,tone,4.715256331068559,6.060120140304411
Sal-05,1,tone,4.815318097591106,5.912930853932456
Sal-05,1,tone,4.91537986411365,5.343200203369824
Sal-05,1,tone,5.015441630636197,5.521715949485738
Sal-05,1,tone,5.11550339715874,6.260334923174601
Sal-05,1,tone,5.215565163681283,7.238760487511505
Sal-05,1,tone,5.31562693020383,7.104181699548416
Sal-05,1,tone,5.415688696726374,7.251000783499841
Sal-05,1,tone,5.515750463248921,6.84556066416778
Sal-05,1,tone,5.615812229771464,6.120301594725511
Sal-05,1,tone,5.7158739962940075,7.532585134088415
Sal-05,1,tone,5.815935762816554,7.230769847923266
Sal-05,1,tone,5.915997529339098,7.190099289237793
Sal-05,1,tone,6.016059295861645,6.313268670397767
Sal-05,1,tone,6.116121062384188,6.5648217995321945
Sal-05,1,tone,6.216182828906732,6.580006146877842
Sal-05,1,tone,6.3162445954292785,6.049631164260371
Sal-05,1,tone,6.416306361951822,4.636718316021083
Sal-05,1,tone,6.516368128474369,3.384285375409554
Sal-05,1,tone,6.616429894996912,4.38710669923534
Sal-05,1,tone,6.716491661519456,5.09592467478737
Sal-05,1,tone,6.816553428042003,4.684683343178711
Sal-05,1,tone,6.916615194564546,4.830528617954754
Sal-05,1,tone,7.016676961087089,6.511731341547323
Sal-05,1,tone,7.116738727609636,6.691996765994583
Sal-05,1,tone,7.21680049413218,6.913995941701316
Sal-05,1,tone,7.316862260654727,7.419671656070273
Sal-05,1,tone,7.41692402717727,8.492911035936178
Sal-05,1,tone,7.5169857936998135,9.07001289006388
Sal-05,1,tone,7.61704756022236,9.67484335002479
Sal-05,1,tone,7.717109326744904,9.635148729775388
Sal-05,1,tone,7.817171093267451,9.315758467140355
Sal-05,1,tone,7.917232859789994,9.341697716018198
Sal-05,1,tone,8.017294626312538,8.846048700886788
Sal-05,1,tone,8.117356392835084,6.701928930655401
Sal-05,1,tone,8.217418159357628,5.916027792038604
Sal-05,1,tone,8.317479925880175,7.193421634129595
Sal-05,1,tone,8.417541692402718,7.277338639663088
Sal-05,1,tone,8.517603458925262,7.052543650853648
Sal-05,1,tone,8.617665225447809,6.825667092159105
Sal-05,1,tone,8.717726991970352,7.389526722335941
Sal-05,1,tone,8.817788758492895,5.86081553600184
Sal-05,1,tone,8.917850525015442,4.531180741933491
Sal-05,1,tone,9.017912291537986,4.159963164601457
Sal-05,1,tone,9.117974058060533,5.561021452526905
Sal-05,1,tone,9.218035824583076,5.853267598523005
Sal-05,1,tone,9.31809759110562,5.445596868193941
Sal-05,1,tone,9.418159357628166,4.731589523052403
Sal-05,1,tone,9.51822112415071,4.395466371294559
Sal-05,1,tone,9.618282890673257,4.260931222011022
Sal-05,1,tone,9.7183446571958,4.86089663056511
Sal-05,1,tone,9.818406423718343,4.650840848862043
Sal-05,1,tone,9.91846819024089,4.584656867928779
Sal-05,1,tone,10.018529956763434,3.7829172389964856
Sal-05,1,tone,10.11859172328598,4.105519821191151
Sal-05,1,tone,10.218653489808524,3.662404181476873
Sal-05,1,tone,10.318715256331068,3.410475457862275
Sal-05,1,tone,10.418777022853615,3.4900397175960656
Sal-05,1,tone,10.518838789376158,3.8675066686564046
Sal-05,1,tone,10.618900555898705,5.494971050603194
Sal-05,1,tone,10.718962322421248,5.042413063730472
Sal-05,1,tone,10.819024088943792,4.99247315802397
Sal-05,1,tone,10.919085855466339,5.635020589194977
Sal-05,1,tone,11.019147621988882,4.7228251373243815
Sal-05,1,tone,11.119209388511425,5.0497845581309
Sal-05,1,tone,11.219271155033972,4.707305670630168
Sal-05,1,tone,11.319332921556516,2.984206405747927
Sal-05,1,tone,11.419394688079063,4.354808848136147
Sal-05,1,tone,11.519456454601606,3.695083161010962
Sal-05,1,tone,11.61951822112415,4.717349065219158
Sal-05,1,tone,11.719579987646696,5.248309567294336
Sal-05,1,tone,11.81964175416924,4.284457991183494
Sal-05,1,tone,11.919703520691787,3.8459882503169265
Sal-05,1,tone,12.019765287214327,2.6329484212545804
Sal-05,1,tone,12.119827053736877,1.9792116523091343
Sal-05,1,tone,12.21988882025942,2.1554611893239612
Sal-05,1,tone,12.319950586781964,3.7191707528639264
Sal-05,1,tone,12.420012353304507,4.292055438287876
Sal-05,1,tone,12.52007411982705,3.2338090913850084
Sal-05,1,tone,12.620135886349601,2.2923493700409927
Sal-05,1,tone,12.720197652872145,3.360719299542245
Sal-05,1,tone,12.820259419394688,3.836228948219695
Sal-05,1,tone,12.920321185917231,3.9675051674781545
Sal-05,1,tone,13.020382952439775,3.5237136058368925
Sal-05,1,tone,13.120444718962325,3.9205045073599027
Sal-05,1,tone,13.220506485484869,2.319198041013122
Sal-05,1,tone,13.320568252007412,2.0137627730556944
Sal-05,1,tone,13.420630018529955,2.2855976261621747
Sal-05,1,tone,13.520691785052499,2.4337207156235254
Sal-05,1,tone,13.62075355157505,3.1969893183907194
Sal-05,1,tone,13.720815318097593,2.260205998131321
Sal-05,1,tone,13.820877084620136,2.5087454646119194
Sal-05,1,tone,13.92093885114268,3.8920132167056334
Sal-05,1,tone,14.021000617665223,2.4512528495859534
Sal-05,1,tone,14.121062384187773,2.2821807303782604
Sal-05,1,tone,14.221124150710317,1.9022376814276132
Sal-05,1,tone,14.32118591723286,2.543961398666472
Sal-05,1,tone,14.421247683755404,2.312630376382553
Sal-05,1,tone,14.521309450277947,2.299086045403882
Sal-05,1,tone,14.621371216800497,2.465511385170467
Sal-05,1,tone,14.72143298332304,3.5917045979756406
Sal-05,1,tone,14.821494749845584,3.176716801202726
Sal-05,1,tone,14.921556516368128,1.8308317258750948
Sal-05,1,tone,15.021618282890671,1.0461343029710188
Sal-05,1,tone,15.121680049413222,0.9096074272131424
Sal-05,1,tone,15.221741815935765,2.0684343268418472
Sal-05,1,tone,15.321803582458308,2.2931482110180674
Sal-05,1,tone,15.421865348980852,1.9843627716988517
Sal-05,1,tone,15.521927115503395,1.8606002804495316
Sal-05,1,tone,15.621988882025946,0.48500241584670434
Sal-05,1,tone,15.722050648548489,0.8268939415592622
Sal-05,1,tone,15.822112415071032,1.1839950824687444
Sal-05,1,tone,15.922174181593576,1.2517390945700537
Sal-05,1,tone,16.02223594811612,1.0907795006229466
Sal-05,1,tone,16.12229771463867,0.4230383085915771
Sal-05,1,tone,16.222359481161213,-0.15096475387033104
Sal-05,1,tone,16.322421247683756,0.3509186984663964
Sal-05,1,tone,16.4224830142063,0.854978104593312
Sal-05,1,tone,16.522544780728843,0.4063632525633913
Sal-05,1,tone,16.622606547251387,0.8991099643229341
Sal-05,1,tone,16.722668313773937,-0.10546646270412331
Sal-05,1,tone,16.82273008029648,-1.161664759559115
Sal-05,1,tone,16.922791846819024,0.1465474560180049
Sal-05,1,tone,17.022853613341567,-0.10805267715696334
Sal-05,1,tone,17.12291537986411,1.2229034389546265
Sal-05,1,tone,17.22297714638666,0.13795661855614888
Sal-05,1,tone,17.323038912909205,0.8176117094004444
Sal-05,1,tone,17.423100679431748,1.1926451059932155
Sal-05,1,tone,17.52316244595429,1.036629873961505
Sal-05,1,tone,17.623224212476835,0.7375798988261143
Sal-05,1,tone,17.723285978999385,1.5372585255968634
Sal-05,1,tone,17.82334774552193,0.771915728189285
Sal-05,1,tone,17.923409512044472,1.0251610835187461
Sal-05,1,tone,18.023471278567015,0.9512521454058133
Sal-05,1,tone,18.12353304508956,1.216723473462436
Sal-05,1,tone,18.22359481161211,2.324323753058692
Sal-05,1,tone,18.323656578134653,1.8670936728425822
Sal-05,1,tone,18.423718344657196,1.6243399582627187
Sal-05,1,tone,18.52378011117974,1.292972292539027
Sal-05,1,tone,18.623841877702283,0.5550500491867071
Sal-05,1,tone,18.723903644224833,0.5460624372988575
Sal-05,1,tone,18.823965410747377,0.7425931706383856
Sal-05,1,tone,18.92402717726992,0.4253874680649631
Sal-05,1,tone,19.024088943792464,1.3168584889628403
Sal-05,1,tone,19.124150710315007,1.39043845933656
Sal-05,1,tone,19.224212476837558,1.1121420116337086
Sal-05,1,tone,19.3242742433601,1.9458673257213595
Sal-05,1,tone,19.424336009882644,1.9803465541347016
Sal-05,1,tone,19.524397776405188,2.0705337268147246
Sal-05,1,tone,19.62445954292773,1.9081010361278632
Sal-05,1,tone,19.72452130945028,1.6363777305133398
Sal-05,1,tone,19.824583075972825,2.1967959461411883
Sal-05,1,tone,19.92464484249537,2.083417583610767
Sal-05,1,trace,20.02470660901791,2.071984549773269
Sal-05,1,trace,20.124768375540455,3.462169097511018
Sal-05,1,trace,20.224830142063006,4.63612542729091
Sal-05,1,trace,20.32489190858555,5.654943527247806
Sal-05,1,trace,20.424953675108092,5.690349892898677
Sal-05,1,trace,20.525015441630636,6.8384900412297664
Sal-05,1,trace,20.62507720815318,7.150222738695891
Sal-05,1,trace,20.725138974675723,5.998914228470971
Sal-05,1,trace,20.825200741198273,4.877179176886458
Sal-05,1,trace,20.925262507720817,4.049934195467574
Sal-05,1,trace,21.02532427424336,5.465897143573487
Sal-05,1,trace,21.125386040765903,5.353253730669885
Sal-05,1,trace,21.225447807288447,4.054626197846401
Sal-05,1,trace,21.325509573810997,4.187595946361149
Sal-05,1,trace,21.42557134033354,5.207574910678759
Sal-05,1,trace,21.525633106856084,5.894726048081327
Sal-05,1,trace,21.625694873378627,5.405064979815001
Sal-05,1,trace,21.72575663990117,4.5220825960712885
Sal-05,1,trace,21.82581840642372,3.82346720757078
Sal-05,1,trace,21.925880172946265,3.647779106147576
Sal-05,1,trace,22.025941939468808,3.421449271381652
Sal-05,1,trace,22.12600370599135,4.562636286456119
Sal-05,1,trace,22.226065472513895,4.014601155195126
Sal-05,1,trace,22.326127239036445,4.359797330931083
Sal-05,1,trace,22.42618900555899,3.7864594243125143
Sal-05,1,trace,22.526250772081532,3.3783497198293926
Sal-05,1,trace,22.626312538604076,3.4373385191114068
