Animal,465nm_dFF_norm,Trial,time_trial,dB,Block
229,-0.481424027790803,1,-2.0,55,1
229,-0.7425996391736851,1,-1.8997995991983967,55,1
229,-0.7698634994158042,1,-1.7995991983967936,55,1
229,-0.9418050923081108,1,-1.6993987975951903,55,1
229,-0.2511833347177061,1,-1.5991983967935872,55,1
229,-0.5563083386593376,1,-1.498997995991984,55,1
229,-0.8746133360038968,1,-1.3987975951903806,55,1
229,-0.9494854643895868,1,-1.2985971943887775,55,1
229,-0.9799965414091965,1,-1.1983967935871744,55,1
229,-0.4337940517391863,1,-1.0981963927855711,55,1
229,0.0259788676045622,1,-0.9979959919839678,55,1
229,0.7172547765859576,1,-0.8977955911823647,55,1
229,1.0813275999924707,1,-0.7975951903807614,55,1
229,1.2462821641490736,1,-0.6973947895791583,55,1
229,1.3147188181300382,1,-0.597194388777555,55,1
229,1.6907505722479703,1,-0.4969939879759519,55,1
229,1.802901017875655,1,-0.3967935871743486,55,1
229,1.066742303307504,1,-0.2965931863727453,55,1
229,-0.5319072940014656,1,-0.1963927855711422,55,1
229,-1.4329755002844935,1,-0.0961923847695389,55,1
229,-1.6172545243120804,1,0.0040080160320643,55,1
229,-1.002823093217043,1,0.1042084168336674,55,1
229,-1.4656148960335291,1,0.2044088176352705,55,1
229,-1.0001301833604015,1,0.3046092184368736,55,1
229,-1.279099157395168,1,0.4048096192384771,55,1
229,-1.0242251210697393,1,0.5050100200400802,55,1
229,-1.5803713544998856,1,0.6052104208416833,55,1
229,-1.2214828971720604,1,0.7054108216432868,55,1
229,-0.9927022847887412,1,0.8056112224448899,55,1
229,-1.484401744832392,1,0.905811623246493,55,1
229,-1.6829347729916284,1,1.006012024048096,55,1
229,-1.374745781868632,1,1.1062124248496996,55,1
229,-1.2820063478000474,1,1.2064128256513027,55,1
229,-0.4248835122628075,1,1.3066132264529058,55,1
229,-0.0740640760541358,1,1.406813627254509,55,1
229,-0.5773196110408608,1,1.5070140280561124,55,1
229,-0.7182212536580671,1,1.6072144288577157,55,1
229,-0.7396149845600841,1,1.7074148296593186,55,1
229,-0.0966676977848376,1,1.807615230460922,55,1
229,0.284386719136601,1,1.9078156312625247,55,1
229,1.3619624570231186,1,2.0080160320641287,55,1
229,2.0056987125476966,1,2.108216432865732,55,1
229,2.2415886421762217,1,2.208416833667335,55,1
229,1.9437754577252453,1,2.3086172344689384,55,1
229,2.502872041575346,1,2.408817635270541,55,1
229,2.229379232210938,1,2.509018036072145,55,1
229,1.927540546217122,1,2.609218436873747,55,1
229,1.2428158528971474,1,2.7094188376753507,55,1
229,0.8537511672869197,1,2.8096192384769543,55,1
229,-0.4227267220468334,1,2.909819639278557,55,1
229,0.110989098597496,1,3.0100200400801604,55,1
229,0.2218043319447544,1,3.110220440881764,55,1
229,0.552453519623195,1,3.2104208416833666,55,1
229,-0.3899919579000151,1,3.31062124248497,55,1
229,-0.4475017266907488,1,3.4108216432865737,55,1
229,-1.1385399220943464,1,3.5110220440881763,55,1
229,-0.8875780324874002,1,3.61122244488978,55,1
229,-1.0437619648671077,1,3.711422845691384,55,1
229,-1.2950527927663766,1,3.811623246492986,55,1
229,-0.7174550745558197,1,3.9118236472945895,55,1
229,-0.659468508413843,1,4.012024048096192,55,1
229,-0.4986194365264109,1,4.112224448897796,55,1
229,-0.1479389536402501,1,4.212424849699399,55,1
229,-0.7365833084282157,1,4.312625250501002,55,1
229,-0.8858338104120328,1,4.412825651302605,55,1
229,-1.214130115911893,1,4.513026052104209,55,1
229,-1.3059004686791609,1,4.613226452905812,55,1
229,-2.09141926382683,1,4.713426853707415,55,1
229,-2.343897550533488,1,4.813627254509019,55,1
229,-2.092722154954648,1,4.913827655310621,55,1
229,-1.9519744753802653,1,5.014028056112225,55,1
229,-1.3260599568017244,1,5.114228456913827,55,1
229,-1.027863937188865,1,5.214428857715431,55,1
229,-0.6662438917472412,1,5.3146292585170345,55,1
229,-1.4110214712882083,1,5.414829659318637,55,1
229,-1.830624996573317,1,5.515030060120241,55,1
229,-3.174785526138544,1,5.615230460921844,55,1
229,-3.998795699341808,1,5.715430861723447,55,1
229,-4.483110672892606,1,5.81563126252505,55,1
229,-5.576151882998178,1,5.915831663326654,55,1
229,-6.037215114690285,1,6.016032064128257,55,1
229,-5.959016114282016,1,6.11623246492986,55,1
229,-6.228385892045603,1,6.216432865731463,55,1
229,-6.0288797161454575,1,6.316633266533067,55,1
229,-5.907456572483004,1,6.41683366733467,55,1
229,-5.577733169743316,1,6.517034068136272,55,1
229,-5.6471165403021,1,6.617234468937877,55,1
229,-5.870384426473105,1,6.71743486973948,55,1
229,-6.38226528293885,1,6.817635270541082,55,1
229,-6.5501717594609845,1,6.917835671342687,55,1
229,-6.262501971422081,1,7.018036072144289,55,1
229,-6.740936497791099,1,7.118236472945892,55,1
229,-6.520617308875079,1,7.218436873747494,55,1
229,-5.341356762018896,1,7.318637274549099,55,1
229,-4.20842877669209,1,7.418837675350701,55,1
229,-2.3534393608014925,1,7.519038076152304,55,1
229,-1.0431217054620006,1,7.619238476953907,55,1
229,-0.8534980327931246,1,7.719438877755511,55,1
229,-1.316369364801779,1,7.819639278557114,55,1
229,-1.4117719830620723,1,7.919839679358718,55,1
229,-0.9161610074227484,1,8.02004008016032,55,1
229,-1.3935890467038383,1,8.120240480961924,55,1
229,-1.4204236622323974,1,8.220440881763528,55,1
229,-0.7998180366275379,1,8.32064128256513,55,1
229,-0.1492861899701266,1,8.420841683366733,55,1
229,1.625508541885523,1,8.521042084168338,55,1
229,1.2932780763827578,1,8.62124248496994,55,1
229,1.0987336378589845,1,8.721442885771543,55,1
