,Animal,time_trial,Phase,Trial,465nm_dFF_norm
0,145,-20.0,baseline,1,0.37269092506460455
1,145,-19.89993746091307,baseline,1,0.33224468110116717
2,145,-19.79987492182614,baseline,1,1.739104375633365
3,145,-19.69981238273921,baseline,1,1.4768747062550935
4,145,-19.599749843652283,baseline,1,0.4345076366908935
5,145,-19.499687304565352,baseline,1,-0.21332234593904367
6,145,-19.399624765478425,baseline,1,0.3293068085710789
7,145,-19.299562226391494,baseline,1,-0.3784406331238743
8,145,-19.199499687304566,baseline,1,-0.44807623497008786
9,145,-19.099437148217635,baseline,1,-0.280977062234318
10,145,-18.999374609130708,baseline,1,0.8754410830614624
11,145,-18.899312070043777,baseline,1,0.07553314421992952
12,145,-18.79924953095685,baseline,1,0.41740742730457003
13,145,-18.69918699186992,baseline,1,3.2453292704601155
14,145,-18.599124452782988,baseline,1,2.4173474122067447
15,145,-18.49906191369606,baseline,1,2.5088090246617485
16,145,-18.39899937460913,baseline,1,1.8729095432248528
17,145,-18.298936835522202,baseline,1,1.9763300881322683
18,145,-18.19887429643527,baseline,1,2.0462556059787054
19,145,-18.098811757348344,baseline,1,0.8055814943713667
20,145,-17.998749218261413,baseline,1,1.1181230992011955
21,145,-17.898686679174485,baseline,1,0.49559986197750283
22,145,-17.798624140087554,baseline,1,-0.6089877808944371
23,145,-17.698561601000627,baseline,1,0.8553038212227811
24,145,-17.598499061913696,baseline,1,0.15537534219681567
25,145,-17.498436522826765,baseline,1,1.7387757448699366
26,145,-17.398373983739837,baseline,1,0.8596186651318655
27,145,-17.29831144465291,baseline,1,0.4660831378760376
28,145,-17.19824890556598,baseline,1,-0.9337162946603722
29,145,-17.098186366479048,baseline,1,-0.34983191181338846
30,145,-16.99812382739212,baseline,1,0.6038025538940038
31,145,-16.89806128830519,baseline,1,0.673479384727507
32,145,-16.797998749218262,baseline,1,1.5257186212721972
33,145,-16.69793621013133,baseline,1,0.3240076432397295
34,145,-16.597873671044404,baseline,1,0.07752041565124611
35,145,-16.497811131957473,baseline,1,0.9170694842080865
36,145,-16.397748592870546,baseline,1,0.4653203257822062
37,145,-16.297686053783615,baseline,1,0.21691035798306302
38,145,-16.197623514696687,baseline,1,-0.7526651170285935
39,145,-16.097560975609756,baseline,1,-0.4175373469850946
40,145,-15.997498436522827,baseline,1,0.14470190546845163
41,145,-15.897435897435898,baseline,1,0.3076519214223209
