Animal,Trial,time_trial,465nm_dFF_norm,mA
199,1,-2.0,-0.6239472108580795,0.1
199,1,-1.8996763754045307,1.0784605584678002,0.1
199,1,-1.7993527508090614,1.3349467889795965,0.1
199,1,-1.6990291262135924,1.2288879573087386,0.1
199,1,-1.5987055016181229,0.6187015692909331,0.1
199,1,-1.4983818770226538,0.5852728454157115,0.1
199,1,-1.3980582524271845,0.8169344163685298,0.1
199,1,-1.2977346278317152,0.7181125762551352,0.1
199,1,-1.197411003236246,0.10270943043160188,0.1
199,1,-1.0970873786407767,0.7836396520364882,0.1
199,1,-0.9967637540453074,0.4069975747877837,0.1
199,1,-0.8964401294498381,0.1626983651348801,0.1
199,1,-0.796116504854369,-0.5623838113592501,0.1
199,1,-0.6957928802588997,-1.4798908519840965,0.1
199,1,-0.5954692556634305,-0.843902274887553,0.1
199,1,-0.49514563106796117,-1.1980256762039716,0.1
199,1,-0.3948220064724919,-1.744088898523464,0.1
199,1,-0.2944983818770226,-1.9533761131011333,0.1
199,1,-0.1941747572815533,-0.3312730841802725,0.1
199,1,-0.09385113268608403,0.8995261866206202,0.1
199,1,0.006472491909385258,2.41158177316911,0.1
199,1,0.10679611650485432,5.5410874801389625,0.1
199,1,0.20711974110032383,9.413524381839343,0.1
199,1,0.3074433656957929,11.720744751798355,0.1
199,1,0.40776699029126195,11.973896557522723,0.1
199,1,0.5080906148867315,11.550595950144412,0.1
199,1,0.6084142394822005,10.476967725316252,0.1
199,1,0.70873786407767,9.817521917781905,0.1
199,1,0.8090614886731391,11.128117624886524,0.1
199,1,0.9093851132686086,11.486950364536556,0.1
199,1,1.0097087378640777,12.322867323363559,0.1
199,1,1.1100323624595472,11.841154881549565,0.1
199,1,1.2103559870550162,9.398680964337478,0.1
199,1,1.3106796116504853,7.19110144168223,0.1
199,1,1.4110032362459548,6.623053862665331,0.1
199,1,1.5113268608414239,4.353180956837064,0.1
199,1,1.6116504854368934,4.2955168207712005,0.1
199,1,1.7119741100323624,4.656634091167684,0.1
199,1,1.812297734627832,4.439675851439042,0.1
199,1,1.912621359223301,5.333777302858964,0.1
199,1,2.0129449838187705,4.294122926116134,0.1
199,1,2.1132686084142396,4.56190197448292,0.1
199,1,2.2135922330097086,3.623472748972706,0.1
199,1,2.3139158576051777,2.444377304557196,0.1
199,1,2.4142394822006477,1.9308846467882321,0.1
199,1,2.5145631067961167,1.4674941307394274,0.1
199,1,2.614886731391586,1.0439839627520802,0.1
199,1,2.715210355987055,0.07475322054778918,0.1
199,1,2.815533980582524,0.7235811071890518,0.1
199,1,2.915857605177994,2.4153097701287813,0.1
199,1,3.016181229773463,1.931464958606644,0.1
199,1,3.116504854368932,1.6044969784406795,0.1
199,1,3.216828478964401,2.126901953734798,0.1
199,1,3.317152103559871,2.206642288730265,0.1
199,1,3.41747572815534,2.6010711500074137,0.1
199,1,3.517799352750809,2.6180000063620517,0.1
199,1,3.618122977346278,2.745382956759642,0.1
199,1,3.7184466019417473,3.167974142178575,0.1
199,1,3.818770226537217,3.592518156624015,0.1
199,1,3.9190938511326863,3.274772586859728,0.1
199,1,4.019417475728155,3.170271331782997,0.1
199,1,4.119741100323624,3.565829737277498,0.1
199,1,4.220064724919094,3.579112805563607,0.1
199,1,4.320388349514563,3.3543002015530456,0.1
199,1,4.4207119741100325,2.9736772164073457,0.1
199,1,4.5210355987055015,1.3235623650394666,0.1
199,1,4.621359223300971,1.3166223009834597,0.1
199,1,4.7216828478964405,1.1221896594302192,0.1
199,1,4.82200647249191,1.3064176390571278,0.1
199,1,4.922330097087379,1.8566760026098246,0.1
199,1,5.022653721682848,0.1723788801007745,0.1
199,1,5.122977346278318,0.9112231040064787,0.1
199,1,5.223300970873787,0.7581449259826107,0.1
199,1,5.323624595469256,0.8608479589586746,0.1
199,1,5.423948220064725,-0.2281870792919735,0.1
199,1,5.524271844660194,0.09394472199556207,0.1
199,1,5.624595469255664,-0.4641620729201765,0.1
199,1,5.724919093851133,-0.39469718927079234,0.1
199,1,5.825242718446602,-0.057096294314814715,0.1
199,1,5.925566343042071,-0.9166548767627968,0.1
199,1,6.025889967637541,-0.390236110386413,0.1
199,1,6.126213592233009,-0.21824112229408765,0.1
199,1,6.226537216828479,-0.45226728765530577,0.1
199,1,6.326860841423949,-0.24670186758156912,0.1
199,1,6.427184466019417,0.00044428333806691524,0.1
199,1,6.527508090614887,0.37507733653025144,0.1
199,1,6.627831715210355,0.39162748061060026,0.1
199,1,6.728155339805825,0.4990310708764156,0.1
199,1,6.828478964401295,0.07602846070484394,0.1
199,1,6.9288025889967635,0.8568833120165493,0.1
199,1,7.029126213592233,-0.150710594221354,0.1
199,1,7.129449838187702,0.2663563530544889,0.1
199,1,7.229773462783172,1.8597738608746923,0.1
199,1,7.3300970873786415,2.9487644802513815,0.1
199,1,7.43042071197411,4.274861462385866,0.1
199,1,7.53074433656958,2.876536344194081,0.1
199,1,7.631067961165048,1.2165483614791852,0.1
199,1,7.731391585760518,1.6727079201018038,0.1
199,1,7.831715210355988,0.9996285411244805,0.1
199,1,7.932038834951456,0.6064397784330633,0.1
199,1,8.032362459546926,0.684671835635042,0.1
199,1,8.132686084142396,-0.39413199041703567,0.1
199,1,8.233009708737864,0.6742456351554047,0.1
199,1,8.333333333333334,0.9852553910847437,0.1
199,1,8.433656957928802,1.7182665739921157,0.1
199,1,8.533980582524272,1.7196021369785344,0.1
199,1,8.634304207119742,1.6903813317786658,0.1
199,1,8.73462783171521,1.6810290085414814,0.1
199,1,8.83495145631068,1.0385133260428865,0.1
199,1,8.935275080906148,1.9564747198610049,0.1
199,1,9.035598705501618,3.105212863613193,0.1
199,1,9.135922330097088,2.3123870341008126,0.1
199,1,9.236245954692556,2.046864492739431,0.1
199,1,9.336569579288026,2.455242852096475,0.1
