Animal,Trial,time_trial,dFF_baseline_norm,mA
Sal-06,1,-2.0,0.8770218910474143,0.2
Sal-06,1,-1.9,0.21168754563183567,0.2
Sal-06,1,-1.8,-1.3288345097489724,0.2
Sal-06,1,-1.7,-1.474573838479726,0.2
Sal-06,1,-1.6,-1.3039466449861432,0.2
Sal-06,1,-1.5,-0.5147767776021022,0.2
Sal-06,1,-1.4,2.7367166860597965,0.2
Sal-06,1,-1.2999999999999998,0.3608921048288112,0.2
Sal-06,1,-1.2,-0.364091546984768,0.2
Sal-06,1,-1.1,1.3883748488129897,0.2
Sal-06,1,-1.0,0.4392895966641646,0.2
Sal-06,1,-0.8999999999999999,0.8651743897509759,0.2
Sal-06,1,-0.7999999999999998,0.05920332110429061,0.2
Sal-06,1,-0.7,0.007080161178132797,0.2
Sal-06,1,-0.5999999999999999,0.17065346185499838,0.2
Sal-06,1,-0.5,-0.06395488090336375,0.2
Sal-06,1,-0.3999999999999999,-0.7879999154144479,0.2
Sal-06,1,-0.2999999999999998,-0.9253912353537579,0.2
Sal-06,1,-0.19999999999999996,0.027295337074875144,0.2
Sal-06,1,-0.09999999999999987,-0.3798199945349912,0.2
Sal-06,1,0.0,-0.6905658368062504,0.2
Sal-06,1,0.10000000000000009,6.085694800424121,0.2
Sal-06,1,0.20000000000000018,8.4467470455702,0.2
Sal-06,1,0.30000000000000027,7.142709797152955,0.2
Sal-06,1,0.40000000000000036,7.64817565539181,0.2
Sal-06,1,0.5,7.037286559669435,0.2
Sal-06,1,0.6000000000000001,7.282907754105242,0.2
Sal-06,1,0.7000000000000002,7.3764830362551965,0.2
Sal-06,1,0.8000000000000003,4.825919991804396,0.2
Sal-06,1,0.9000000000000004,4.3938492125426505,0.2
Sal-06,1,1.0,6.801363041686966,0.2
Sal-06,1,1.1,7.286294501302569,0.2
Sal-06,1,1.2000000000000002,7.209939201523516,0.2
Sal-06,1,1.3000000000000003,9.673463910216213,0.2
Sal-06,1,1.4000000000000004,8.191456829698554,0.2
Sal-06,1,1.5,5.624700875421351,0.2
Sal-06,1,1.6,5.6163901403968435,0.2
Sal-06,1,1.7000000000000002,4.8453473417971935,0.2
Sal-06,1,1.8000000000000003,3.9548615764379,0.2
Sal-06,1,1.9000000000000004,5.255331458927207,0.2
Sal-06,1,2.0,6.303449701258455,0.2
Sal-06,1,2.1000000000000005,5.740744452738222,0.2
Sal-06,1,2.2,3.9465364752588794,0.2
Sal-06,1,2.3,4.43992537793551,0.2
Sal-06,1,2.4000000000000004,6.598007720150721,0.2
Sal-06,1,2.5,5.621665215127231,0.2
Sal-06,1,2.6000000000000005,5.573427369373287,0.2
Sal-06,1,2.7,6.413991511336597,0.2
Sal-06,1,2.8000000000000007,6.924784879464794,0.2
Sal-06,1,2.9000000000000004,8.153081458290137,0.2
Sal-06,1,3.0,8.751628398125655,0.2
Sal-06,1,3.1000000000000005,7.528202286367311,0.2
Sal-06,1,3.2,4.508532311638316,0.2
Sal-06,1,3.3000000000000007,7.9912898504623,0.2
Sal-06,1,3.4000000000000004,7.3564250690901325,0.2
Sal-06,1,3.5,6.598799222630796,0.2
Sal-06,1,3.6000000000000005,6.4845726588713,0.2
Sal-06,1,3.7,4.589781359343578,0.2
Sal-06,1,3.8000000000000007,2.7038858190529305,0.2
Sal-06,1,3.9000000000000004,5.334615449787578,0.2
Sal-06,1,4.0,7.231802121838842,0.2
Sal-06,1,4.1000000000000005,6.927371460185493,0.2
Sal-06,1,4.2,7.762196227757536,0.2
Sal-06,1,4.300000000000001,7.8725613954637925,0.2
Sal-06,1,4.4,5.317775217765076,0.2
Sal-06,1,4.5,3.796308358150989,0.2
Sal-06,1,4.6000000000000005,5.003189830797149,0.2
Sal-06,1,4.7,5.512209941144966,0.2
Sal-06,1,4.800000000000001,6.301575883892098,0.2
Sal-06,1,4.9,5.5511458032293195,0.2
Sal-06,1,5.0,5.987460505585078,0.2
Sal-06,1,5.1000000000000005,5.741770962903792,0.2
Sal-06,1,5.2,3.980459967100699,0.2
Sal-06,1,5.300000000000001,3.416450554531952,0.2
Sal-06,1,5.4,6.242670767804973,0.2
Sal-06,1,5.5,7.41930701362649,0.2
Sal-06,1,5.6000000000000005,6.5250079973230495,0.2
Sal-06,1,5.7,4.7971968773077895,0.2
Sal-06,1,5.800000000000001,4.894952347917153,0.2
Sal-06,1,5.9,4.587863656745734,0.2
Sal-06,1,6.0,4.349661618470274,0.2
Sal-06,1,6.1,4.171319745682949,0.2
Sal-06,1,6.200000000000001,4.834889329873792,0.2
Sal-06,1,6.300000000000001,5.374465354159203,0.2
Sal-06,1,6.4,4.636472853146815,0.2
Sal-06,1,6.5,4.379549358839376,0.2
Sal-06,1,6.6,5.2710354599592355,0.2
Sal-06,1,6.700000000000001,5.525424472231388,0.2
Sal-06,1,6.800000000000001,4.026853288708567,0.2
Sal-06,1,6.9,5.143983111100703,0.2
Sal-06,1,7.0,4.458356732812006,0.2
Sal-06,1,7.1,4.406313823964267,0.2
Sal-06,1,7.200000000000001,3.8481176658968663,0.2
Sal-06,1,7.300000000000001,2.843949149939954,0.2
Sal-06,1,7.4,3.0398977617473584,0.2
Sal-06,1,7.5,2.5593967747624204,0.2
Sal-06,1,7.600000000000001,3.275166406756554,0.2
Sal-06,1,7.700000000000001,3.6147115197060606,0.2
Sal-06,1,7.800000000000001,3.538637985836144,0.2
Sal-06,1,7.9,4.517306461947908,0.2
Sal-06,1,8.0,3.084389062897992,0.2
Sal-06,1,8.100000000000001,3.1750798238580544,0.2
Sal-06,1,8.200000000000001,3.767915533695629,0.2
Sal-06,1,8.3,3.403980769248224,0.2
Sal-06,1,8.4,3.109325893381371,0.2
Sal-06,1,8.5,1.8529873217497692,0.2
Sal-06,1,8.600000000000001,1.3236511777898006,0.2
Sal-06,1,8.700000000000001,1.9733508753459983,0.2
Sal-06,1,8.8,2.0313014092681407,0.2
Sal-06,1,8.9,0.608470389417536,0.2
Sal-06,1,9.0,1.6811546637700066,0.2
Sal-06,1,9.100000000000001,4.623746078273863,0.2
Sal-06,1,9.200000000000001,4.1149852667038695,0.2
Sal-06,1,9.3,2.343583991822339,0.2
Sal-06,1,9.4,3.8657016499584107,0.2
Sal-06,1,9.5,2.4566280967520244,0.2
Sal-06,1,9.600000000000001,2.7330318163275726,0.2
Sal-06,1,9.700000000000001,2.846789321783947,0.2
Sal-06,1,9.8,-0.24000852372722017,0.2
Sal-06,1,9.9,1.0745101381450368,0.2
Sal-06,1,10.0,4.13433280148331,0.2
Sal-06,2,-2.0,0.8370331073810462,0.0
Sal-06,2,-1.9,-0.3172355407117044,0.0
Sal-06,2,-1.8,0.393255373830656,0.0
Sal-06,2,-1.7,0.8156039966110796,0.0
Sal-06,2,-1.6,0.619251619538623,0.0
Sal-06,2,-1.5,1.2787095376426996,0.0
Sal-06,2,-1.4,0.9171515284039766,0.0
Sal-06,2,-1.2999999999999998,0.4626355012744786,0.0
Sal-06,2,-1.2,0.28410697283089087,0.0
Sal-06,2,-1.1,-0.7737379513856222,0.0
Sal-06,2,-1.0,-2.7719128078991746,0.0
Sal-06,2,-0.8999999999999999,0.6342784020401822,0.0
Sal-06,2,-0.7999999999999998,0.5912225152753435,0.0
Sal-06,2,-0.7,-0.7490727077680817,0.0
Sal-06,2,-0.5999999999999999,-0.585809262047549,0.0
Sal-06,2,-0.5,-0.7008582203244389,0.0
Sal-06,2,-0.3999999999999999,-1.2757660396532131,0.0
